,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,obs
0,2020-04-06,35.65832413079473,-14.891853404744205,55.16779051278068,27.100304685556935,45.37755564189408,-15.924632310877763,-25.03598391320765,-7.291350956113519,-15.924632310877763,-25.03598391320765,-7.291350956113519,0.0,0.0,0.0,19.73369181991697,27.0
1,2020-04-07,35.932280754731195,5.882985573826802,73.65025344128594,27.76574725921762,45.338912042845955,2.555859564340907,-5.905944687229794,10.439030294049902,2.555859564340907,-5.905944687229794,10.439030294049902,0.0,0.0,0.0,38.4881403190721,27.0
2,2020-04-08,36.206237378667666,10.438552578105671,75.7738265322499,28.44948760270598,45.304674469250074,6.978257659914703,-2.482962227002991,15.342380885458907,6.978257659914703,-2.482962227002991,15.342380885458907,0.0,0.0,0.0,43.18449503858237,57.0
3,2020-04-09,36.474010646628365,10.547908321793102,78.41075384008556,28.932144462626056,45.25891502258241,8.872814294897049,-1.3782401333016623,18.998945277352426,8.872814294897049,-1.3782401333016623,18.998945277352426,0.0,0.0,0.0,45.34682494152541,53.0
4,2020-04-10,36.741783914589064,7.80564571750591,75.40780713185272,29.608861375346013,44.955097611511874,4.976326640144916,-3.9562879243856632,13.483295565030803,4.976326640144916,-3.9562879243856632,13.483295565030803,0.0,0.0,0.0,41.71811055473398,32.0
5,2020-04-11,37.004869109907276,2.777522937529832,72.59058324385587,30.289232820305177,44.79214924582393,1.4496898607328599,-8.310343296967787,11.454436496854782,1.4496898607328599,-8.310343296967787,11.454436496854782,0.0,0.0,0.0,38.454558970640136,30.0
6,2020-04-12,37.26795430522549,-3.6426321602300957,60.7873242126575,30.847612162393517,44.6745318685643,-8.90831570910988,-17.736377732817374,-0.0455149538800869,-8.90831570910988,-17.736377732817374,-0.0455149538800869,0.0,0.0,0.0,28.35963859611561,26.0
7,2020-04-13,37.5310395005437,-11.704724951398507,54.983447199060365,31.29981127050406,44.4955316514831,-15.924632310865427,-25.03598391321355,-7.2913509560866006,-15.924632310865427,-25.03598391321355,-7.2913509560866006,0.0,0.0,0.0,21.606407189678272,23.0
8,2020-04-14,37.79690417797576,10.135567519393835,73.19417007246055,31.75090019248451,44.79308689785692,2.5558595643525717,-5.905944687218534,10.439030294062661,2.5558595643525717,-5.905944687218534,10.439030294062661,0.0,0.0,0.0,40.352763742328335,43.0
9,2020-04-15,38.062768855407825,13.134577759575073,78.25416018141368,32.343693331060436,44.881205075947086,6.97825765991783,-2.4829622270093745,15.342380885468936,6.97825765991783,-2.4829622270093745,15.342380885468936,0.0,0.0,0.0,45.041026515325655,49.0
10,2020-04-16,38.328773563257585,16.20157297536238,80.54899457031736,32.658708107479754,45.07096650523596,8.87281429490531,-1.3782401332596088,18.998945277368172,8.87281429490531,-1.3782401332596088,18.998945277368172,0.0,0.0,0.0,47.201587858162895,49.0
11,2020-04-17,38.59477827110734,10.398796725997366,76.3955087283228,33.12762125988864,45.23391000049084,4.976326640130551,-3.9562879243988527,13.48329556502132,4.976326640130551,-3.9562879243988527,13.48329556502132,0.0,0.0,0.0,43.57110491123789,41.0
12,2020-04-18,38.8642020294329,8.283443931202699,71.48944167894891,33.37404411601245,45.26529835133744,1.4496898607030426,-8.310343296987824,11.454436496806176,1.4496898607030426,-8.310343296987824,11.454436496806176,0.0,0.0,0.0,40.31389189013595,27.0
13,2020-04-19,39.13362578775846,-1.6129312455111282,61.060006378375434,33.88944794854328,45.26234202081977,-8.908315709130514,-17.736377732822387,-0.04551495390110721,-8.908315709130514,-17.736377732822387,-0.04551495390110721,0.0,0.0,0.0,30.22531007862795,19.0
14,2020-04-20,39.403004564544354,-9.528507252052895,57.183631826306616,34.377927982982506,45.39420573651964,-15.924632310862338,-25.03598391320267,-7.291350956088239,-15.924632310862338,-25.03598391320267,-7.291350956088239,0.0,0.0,0.0,23.478372253682018,19.0
15,2020-04-21,39.67238334133025,11.61711957146909,74.665442171896,34.69018380643148,45.33372727481427,2.5558595643013673,-5.905944687279021,10.439030294026116,2.5558595643013673,-5.905944687279021,10.439030294026116,0.0,0.0,0.0,42.22824290563162,39.0
16,2020-04-22,39.935880507324704,14.62255461782408,81.55600890446844,35.00721117120431,45.26241444319165,6.978257659913679,-2.4829622269803475,15.342380885457807,6.978257659913679,-2.4829622269803475,15.342380885457807,0.0,0.0,0.0,46.914138167238384,56.0
17,2020-04-23,40.19937767331915,14.692741221356577,81.97434401646852,35.24052869894608,45.55498117116534,8.872814294899525,-1.3782401332775474,18.99894527736134,8.872814294899525,-1.3782401332775474,18.99894527736134,0.0,0.0,0.0,49.072191968218675,41.0
18,2020-04-24,40.4628748393136,11.387630756644588,77.79939883409857,35.60414627007536,45.779081927533035,4.976326640116187,-3.956287924412043,13.483295565011838,4.976326640116187,-3.956287924412043,13.483295565011838,0.0,0.0,0.0,45.439201479429784,46.0
19,2020-04-25,40.72374253494952,8.312981060903287,73.8594974734907,35.84742659349571,45.95476510939405,1.4496898607108595,-8.310343296992611,11.454436496828707,1.4496898607108595,-8.310343296992611,11.454436496828707,0.0,0.0,0.0,42.173432395660384,40.0
20,2020-04-26,40.984610230585446,-1.8284788051958316,65.10925735568074,36.095561252918465,46.1295639294377,-8.908315709135572,-17.73637773283152,-0.045514953918893916,-8.908315709135572,-17.73637773283152,-0.045514953918893916,0.0,0.0,0.0,32.076294521449874,20.0
